claim_id,customer_id,claim_date,vehicle_type,damage_category,fault_type,description,estimated_cost_eur,actual_cost_eur,repair_duration_days,status
CLM-000023,CUST-027,2025-03-21,PKW,Karosserie,Eigenverschulden,,3212.4,2850.14,6.0,abgeschlossen
CLM-000024,CUST-026,2025-07-28,PKW,Glas,Vandalismus,Steinschlag in der Windschutzscheibe,700.28,820.92,1.0,abgeschlossen
CLM-000025,CUST-012,2023-10-20,Motorrad,Elektronik,Eigenverschulden,Klimaanlage funktioniert nicht mehr,1816.7,1424.76,3.0,abgeschlossen
CLM-000026,CUST-026,2024-06-26,PKW,Glas,Fremdverschulden,Seitenscheibe hinten rechts gesprungen,1372.33,1234.79,1.0,abgeschlossen
CLM-000027,CUST-002,2023-10-13,Motorrad,Fahrwerk,Eigenverschulden,Federbein gebrochen,5272.93,6127.18,5.0,abgeschlossen
CLM-000028,CUST-003,2024-05-20,PKW,Fahrwerk,Eigenverschulden,Achsvermessung nötig nach Bordsteinberührung,1652.48,1970.01,4.0,abgeschlossen
CLM-000029,CUST-002,2026-02-23,PKW,Elektronik,Eigenverschulden,Klimaanlage funktioniert nicht mehr,1775.91,2003.08,2.0,in_bearbeitung
CLM-000030,CUST-008,2026-01-08,PKW,Fahrwerk,Naturereignis,Stoßdämpfer vorne links defekt,2633.47,2299.14,3.0,in_bearbeitung
CLM-000031,CUST-009,2024-06-22,PKW,Elektronik,Fremdverschulden,Batterie entlädt sich über Nacht,1244.35,1436.59,2.0,abgeschlossen
CLM-000032,CUST-004,2025-05-27,PKW,Glas,Eigenverschulden,Steinschlag in der Windschutzscheibe,733.09,688.7,3.0,abgeschlossen
CLM-000033,CUST-021,2025-03-28,PKW,Karosserie,Vandalismus,"Beule an der Beifahrertür, Ursache unbekannt",1716.15,1825.19,4.0,abgeschlossen
CLM-000034,CUST-008,2025-01-11,PKW,Karosserie,Vandalismus,"Beule an der Beifahrertür, Ursache unbekannt",7759.41,6516.9,5.0,abgeschlossen
CLM-000035,CUST-005,2024-03-25,PKW,Karosserie,Eigenverschulden,Hagelschaden auf Motorhaube und Dach,2800.37,3393.58,1.0,abgeschlossen
CLM-000036,CUST-012,2023-10-11,PKW,Fahrwerk,Fremdverschulden,Achsvermessung nötig nach Bordsteinberührung,1985.99,2120.75,2.0,abgeschlossen
CLM-000037,CUST-002,2025-11-09,PKW,Elektronik,Teilschuld,Infotainment-System reagiert nicht,1009.23,1074.07,4.0,storniert
CLM-000038,CUST-021,2025-10-07,LKW,Glas,Fremdverschulden,Seitenscheibe hinten rechts gesprungen,789.25,905.95,1.0,abgeschlossen
CLM-000039,CUST-002,2023-07-06,PKW,Karosserie,Teilschuld,Lackschaden durch Vandalismus am vorderen Kotflügel,5009.5,6955.36,6.0,abgeschlossen
CLM-000040,CUST-029,2023-04-07,PKW,Motor,Fremdverschulden,"Motor springt nicht an, Fehlermeldung im Display",7037.23,7381.14,10.0,abgeschlossen
CLM-000041,CUST-019,2023-08-13,LKW,Fahrwerk,Fremdverschulden,Schleifgeräusche beim Lenken,2277.62,2156.96,5.0,abgeschlossen
CLM-000042,CUST-003,2023-11-10,Motorrad,Elektronik,Fremdverschulden,Infotainment-System reagiert nicht,2033.23,1943.14,2.0,abgeschlossen
CLM-000043,CUST-001,2023-11-24,Transporter,Fahrwerk,Naturereignis,Federbein gebrochen,2248.28,2692.63,2.0,abgeschlossen
CLM-000044,CUST-021,2025-05-14,Transporter,Karosserie,Fremdverschulden,Hagelschaden auf Motorhaube und Dach,1672.59,1958.57,1.0,abgeschlossen
CLM-000045,CUST-013,2023-05-11,LKW,Elektronik,Naturereignis,Infotainment-System reagiert nicht,3316.61,3257.87,2.0,storniert
CLM-000046,CUST-015,2025-02-27,LKW,Karosserie,Eigenverschulden,"Beule an der Beifahrertür, Ursache unbekannt",957.64,870.33,2.0,abgeschlossen
CLM-000047,CUST-018,2025-02-20,Motorrad,Motor,Vandalismus,Ölverlust unter dem Fahrzeug festgestellt,10073.37,10038.82,9.0,abgeschlossen
CLM-000048,CUST-002,2025-08-16,PKW,Karosserie,Eigenverschulden,Delle an der Fahrertür nach Parkplatzrempler,1678.65,1551.55,3.0,abgeschlossen
CLM-000049,CUST-008,2025-12-19,PKW,Karosserie,Eigenverschulden,"Beule an der Beifahrertür, Ursache unbekannt",4212.07,4557.5,3.0,abgeschlossen
CLM-000050,CUST-002,2024-05-29,Motorrad,Interieur,Naturereignis,Armaturenbrett hat Riss durch Sonneneinstrahlung,911.06,860.93,1.0,abgeschlossen
CLM-000051,CUST-024,2026-02-07,PKW,Interieur,Vandalismus,Mittelkonsole gebrochen,844.03,727.25,1.0,abgeschlossen
CLM-000052,CUST-012,2023-01-24,PKW,Glas,Fremdverschulden,Heckscheibe durch Vandalismus eingeschlagen,1943.69,1849.72,2.0,abgeschlossen
CLM-000053,CUST-008,2023-08-23,Motorrad,Glas,Fremdverschulden,Seitenscheibe hinten rechts gesprungen,1592.78,1956.25,5.0,abgeschlossen
CLM-000054,CUST-002,2026-01-04,PKW,Karosserie,Fremdverschulden,Heckschaden durch Rückwärtsfahrt gegen Poller,4557.61,4262.54,4.0,in_bearbeitung
CLM-000055,CUST-008,2024-06-30,LKW,Karosserie,Naturereignis,,3385.52,3373.23,,abgeschlossen
CLM-000056,CUST-008,2024-11-27,Transporter,Elektronik,Naturereignis,Fensterheber klemmt auf Fahrerseite,1092.57,1145.73,4.0,storniert
CLM-000057,CUST-015,2023-08-17,Transporter,Elektronik,Eigenverschulden,"Steuergerät defekt, mehrere Fehlermeldungen aktiv",952.05,1121.66,1.0,abgeschlossen
CLM-000058,CUST-013,2024-08-24,Transporter,Fahrwerk,Vandalismus,Federbein gebrochen,1638.25,1687.68,4.0,abgeschlossen
CLM-000059,CUST-026,2025-06-09,Transporter,Karosserie,Eigenverschulden,Delle an der Fahrertür nach Parkplatzrempler,3187.66,3063.86,2.0,abgeschlossen
CLM-000060,CUST-012,2023-11-20,Transporter,Glas,Teilschuld,Seitenscheibe hinten rechts gesprungen,1162.12,1079.34,3.0,abgeschlossen
CLM-000061,CUST-002,2025-07-18,LKW,Interieur,Fremdverschulden,Sitzheizung defekt,1587.19,1266.74,1.0,abgeschlossen
CLM-000062,CUST-014,2023-01-07,PKW,Karosserie,Vandalismus,Lackschaden durch Vandalismus am vorderen Kotflügel,2947.13,3804.27,4.0,abgeschlossen
CLM-000063,CUST-018,2024-06-23,Transporter,Glas,Fremdverschulden,Steinschlag in der Windschutzscheibe,525.57,472.14,1.0,abgeschlossen
CLM-000064,CUST-012,2025-10-22,PKW,Karosserie,Vandalismus,Frontschaden nach leichtem Auffahrunfall an Kreuzung,3577.26,3673.62,5.0,abgeschlossen
CLM-000065,CUST-018,2024-01-01,PKW,Karosserie,Eigenverschulden,Seitliche Beschädigung nach Auffahrunfall,3296.82,3538.73,8.0,abgeschlossen
CLM-000066,CUST-012,2025-11-05,PKW,Karosserie,Eigenverschulden,Heckschaden durch Rückwärtsfahrt gegen Poller,3800.01,4432.54,2.0,abgeschlossen
CLM-000067,CUST-012,2023-08-06,Transporter,Glas,Naturereignis,Heckscheibe durch Vandalismus eingeschlagen,1063.76,1025.26,1.0,abgeschlossen
CLM-000068,CUST-010,2024-09-03,PKW,Elektronik,Eigenverschulden,"Steuergerät defekt, mehrere Fehlermeldungen aktiv",2402.89,3087.67,3.0,abgeschlossen
CLM-000069,CUST-002,2025-11-05,Transporter,Glas,Fremdverschulden,Heckscheibe durch Vandalismus eingeschlagen,811.06,692.5,2.0,abgeschlossen
CLM-000070,CUST-002,2024-02-12,Transporter,Motor,Vandalismus,"Motor springt nicht an, Fehlermeldung im Display",9160.84,8995.42,6.0,abgeschlossen
CLM-000071,CUST-002,2023-11-10,PKW,Interieur,Fremdverschulden,Lenkrad Lederbezug beschädigt,346.45,390.49,1.0,storniert
CLM-000072,CUST-013,2025-02-04,PKW,Fahrwerk,Teilschuld,Stoßdämpfer vorne links defekt,1581.34,1559.87,6.0,abgeschlossen
CLM-000073,CUST-008,2023-11-27,PKW,Karosserie,Naturereignis,Lackschaden durch Vandalismus am vorderen Kotflügel,3266.22,3359.55,5.0,abgeschlossen
CLM-000074,CUST-012,2026-01-09,Transporter,Elektronik,Eigenverschulden,Batterie entlädt sich über Nacht,2447.61,2287.72,1.0,abgeschlossen
CLM-000075,CUST-026,2025-12-22,PKW,Karosserie,Fremdverschulden,Delle an der Fahrertür nach Parkplatzrempler,3575.83,3436.62,2.0,storniert
CLM-000076,CUST-004,2023-01-02,LKW,Interieur,Fremdverschulden,Sitzheizung defekt,1485.46,1622.58,4.0,abgeschlossen
CLM-000077,CUST-010,2024-10-25,LKW,Elektronik,Teilschuld,Scheinwerfer fallen sporadisch aus,1075.37,1250.54,5.0,abgeschlossen
CLM-000078,CUST-018,2025-09-27,PKW,Karosserie,Teilschuld,Heckschaden durch Rückwärtsfahrt gegen Poller,2116.28,2372.79,,storniert
CLM-000079,CUST-003,2023-02-09,Transporter,Glas,Fremdverschulden,Steinschlag in der Windschutzscheibe,1041.38,1328.52,1.0,abgeschlossen
CLM-000080,CUST-002,2023-08-18,PKW,Elektronik,Fremdverschulden,Scheinwerfer fallen sporadisch aus,1535.19,1454.75,2.0,abgeschlossen
CLM-000081,CUST-006,2025-01-13,PKW,Elektronik,Naturereignis,,1700.08,1622.77,2.0,abgeschlossen
CLM-000082,CUST-002,2024-09-21,PKW,Motor,Eigenverschulden,Ölverlust unter dem Fahrzeug festgestellt,7856.72,5951.89,9.0,abgeschlossen
CLM-000083,CUST-026,2024-05-05,PKW,Motor,Naturereignis,Kühlmittelverlust und Überhitzung,3109.79,2611.69,4.0,abgeschlossen
CLM-000084,CUST-021,2023-04-29,PKW,Elektronik,Fremdverschulden,Klimaanlage funktioniert nicht mehr,2760.85,3469.26,1.0,abgeschlossen
CLM-000085,CUST-012,2024-05-08,PKW,Fahrwerk,Eigenverschulden,Schleifgeräusche beim Lenken,1961.51,1911.84,5.0,storniert
CLM-000086,CUST-025,2023-06-11,LKW,Karosserie,Fremdverschulden,"Beule an der Beifahrertür, Ursache unbekannt",2865.29,3364.66,4.0,abgeschlossen
CLM-000087,CUST-021,2023-06-25,PKW,Karosserie,Teilschuld,Frontschaden nach leichtem Auffahrunfall an Kreuzung,1740.14,1802.36,6.0,abgeschlossen
CLM-000088,CUST-002,2025-09-22,PKW,Interieur,Naturereignis,Lenkrad Lederbezug beschädigt,1671.83,1797.49,1.0,abgeschlossen
CLM-000089,CUST-026,2023-05-22,PKW,Karosserie,Vandalismus,Frontschaden nach leichtem Auffahrunfall an Kreuzung,3041.75,3498.49,4.0,abgeschlossen
CLM-000090,CUST-012,2025-12-26,PKW,Motor,Fremdverschulden,Ungewöhnliche Geräusche aus dem Motorraum,,1501.73,3.0,abgeschlossen
CLM-000091,CUST-021,2023-09-15,PKW,Fahrwerk,Eigenverschulden,Federbein gebrochen,1490.18,1080.98,3.0,storniert
CLM-000092,CUST-026,2023-09-20,PKW,Karosserie,Eigenverschulden,"Beule an der Beifahrertür, Ursache unbekannt",3572.42,4308.51,,abgeschlossen
CLM-000093,CUST-008,2025-08-31,PKW,Glas,Eigenverschulden,Steinschlag in der Windschutzscheibe,809.11,924.76,1.0,abgeschlossen
CLM-000094,CUST-002,2026-01-30,LKW,Fahrwerk,Naturereignis,Achsvermessung nötig nach Bordsteinberührung,4627.77,5540.54,1.0,abgeschlossen
CLM-000095,CUST-003,2023-12-05,PKW,Karosserie,Fremdverschulden,"Beule an der Beifahrertür, Ursache unbekannt",6281.6,6980.86,6.0,storniert
CLM-000096,CUST-010,2024-06-26,PKW,Fahrwerk,Eigenverschulden,Achsvermessung nötig nach Bordsteinberührung,2146.1,1630.4,4.0,abgeschlossen
CLM-000097,CUST-021,2025-12-16,Transporter,Motor,Eigenverschulden,Ungewöhnliche Geräusche aus dem Motorraum,4656.98,4067.93,2.0,abgeschlossen
CLM-000098,CUST-024,2025-05-16,Motorrad,Karosserie,Eigenverschulden,Heckschaden durch Rückwärtsfahrt gegen Poller,8000.0,7788.94,8.0,abgeschlossen
CLM-000099,CUST-001,2024-03-09,PKW,Elektronik,Fremdverschulden,Scheinwerfer fallen sporadisch aus,1825.74,1976.77,7.0,abgeschlossen
CLM-000100,CUST-012,2026-01-09,PKW,Karosserie,Fremdverschulden,Kratzer an der hinteren Stoßstange,2827.65,3546.6,4.0,in_bearbeitung
CLM-000101,CUST-010,2024-02-16,PKW,Karosserie,Naturereignis,Seitliche Beschädigung nach Auffahrunfall,2026.52,2085.68,2.0,abgeschlossen
CLM-000102,CUST-003,2024-09-30,PKW,Karosserie,Eigenverschulden,Heckschaden durch Rückwärtsfahrt gegen Poller,1908.67,1530.75,9.0,abgeschlossen
CLM-000103,CUST-002,2025-03-28,LKW,Elektronik,Fremdverschulden,Fensterheber klemmt auf Fahrerseite,1264.28,1257.26,1.0,abgeschlossen
CLM-000104,CUST-008,2025-02-03,Transporter,Fahrwerk,Eigenverschulden,Federbein gebrochen,1667.43,1494.25,3.0,abgeschlossen
CLM-000105,CUST-027,2025-06-16,Motorrad,Glas,Eigenverschulden,Riss in der Frontscheibe breitet sich aus,429.02,423.67,1.0,abgeschlossen
CLM-000106,CUST-008,2025-11-25,PKW,Motor,Vandalismus,Ungewöhnliche Geräusche aus dem Motorraum,2481.93,2764.89,8.0,abgeschlossen
CLM-000107,CUST-012,2025-07-13,Transporter,Karosserie,Eigenverschulden,Hagelschaden auf Motorhaube und Dach,2883.09,2252.75,4.0,abgeschlossen
CLM-000108,CUST-013,2023-09-05,PKW,Karosserie,Fremdverschulden,Frontschaden nach leichtem Auffahrunfall an Kreuzung,2370.35,2102.92,2.0,abgeschlossen
CLM-000109,CUST-008,2024-05-22,Transporter,Glas,Fremdverschulden,Riss in der Frontscheibe breitet sich aus,1016.62,1221.03,1.0,abgeschlossen
CLM-000110,CUST-029,2024-04-05,PKW,Elektronik,Teilschuld,Batterie entlädt sich über Nacht,672.2,683.8,1.0,abgeschlossen
CLM-000111,CUST-028,2023-05-12,PKW,Elektronik,Eigenverschulden,Scheinwerfer fallen sporadisch aus,1584.58,1744.15,1.0,abgeschlossen
CLM-000112,CUST-004,2024-11-23,Motorrad,Elektronik,Eigenverschulden,Scheinwerfer fallen sporadisch aus,1909.77,1694.36,2.0,abgeschlossen
CLM-000113,CUST-012,2023-02-13,Transporter,Motor,Eigenverschulden,"Motor springt nicht an, Fehlermeldung im Display",4490.08,3953.95,5.0,abgeschlossen
CLM-000114,CUST-007,2026-02-08,PKW,Karosserie,Eigenverschulden,Hagelschaden auf Motorhaube und Dach,4738.15,4753.3,1.0,abgeschlossen
CLM-000115,CUST-006,2024-04-16,Transporter,Karosserie,Teilschuld,Seitliche Beschädigung nach Auffahrunfall,7158.06,7092.93,7.0,abgeschlossen
CLM-000116,CUST-002,2024-03-27,PKW,Elektronik,Eigenverschulden,Klimaanlage funktioniert nicht mehr,1204.64,931.12,1.0,storniert
CLM-000117,CUST-012,2023-01-15,Motorrad,Karosserie,Fremdverschulden,Heckschaden durch Rückwärtsfahrt gegen Poller,1123.08,856.21,1.0,abgeschlossen
CLM-000118,CUST-012,2023-05-26,PKW,Elektronik,Teilschuld,,1961.97,2111.69,2.0,abgeschlossen
CLM-000119,CUST-002,2023-05-01,PKW,Fahrwerk,Eigenverschulden,Achsvermessung nötig nach Bordsteinberührung,937.39,1063.24,3.0,abgeschlossen
CLM-000120,CUST-005,2024-04-13,Motorrad,Karosserie,Fremdverschulden,Kratzer an der hinteren Stoßstange,2173.01,2220.86,1.0,abgeschlossen
CLM-000121,CUST-026,2023-05-19,Transporter,Karosserie,Eigenverschulden,Frontschaden nach leichtem Auffahrunfall an Kreuzung,6195.07,7028.47,6.0,abgeschlossen
CLM-000122,CUST-003,2023-03-06,Transporter,Interieur,Eigenverschulden,Sitzheizung defekt,897.67,777.67,1.0,abgeschlossen
CLM-000123,CUST-002,2024-11-07,Motorrad,Elektronik,Fremdverschulden,"Steuergerät defekt, mehrere Fehlermeldungen aktiv",585.36,522.22,5.0,abgeschlossen
CLM-000124,CUST-012,2023-05-26,PKW,Motor,Fremdverschulden,Kühlmittelverlust und Überhitzung,4739.03,4037.29,7.0,abgeschlossen
CLM-000125,CUST-029,2025-11-18,LKW,Interieur,Eigenverschulden,Armaturenbrett hat Riss durch Sonneneinstrahlung,961.45,972.53,1.0,abgeschlossen
CLM-000126,CUST-003,2024-05-02,PKW,Elektronik,Fremdverschulden,Infotainment-System reagiert nicht,1534.12,1384.54,1.0,abgeschlossen
CLM-000127,CUST-013,2024-07-24,PKW,Fahrwerk,Vandalismus,Stoßdämpfer vorne links defekt,2248.5,2397.56,3.0,abgeschlossen
CLM-000128,CUST-018,2025-09-21,PKW,Glas,Fremdverschulden,Riss in der Frontscheibe breitet sich aus,502.43,608.76,2.0,abgeschlossen
CLM-000129,CUST-003,2024-03-14,PKW,Fahrwerk,Vandalismus,Stoßdämpfer vorne links defekt,1967.26,1972.82,3.0,abgeschlossen
CLM-000130,CUST-015,2026-01-09,PKW,Interieur,Eigenverschulden,Lenkrad Lederbezug beschädigt,1462.91,1514.09,1.0,abgeschlossen
CLM-000131,CUST-008,2023-09-28,PKW,Karosserie,Eigenverschulden,Hagelschaden auf Motorhaube und Dach,4455.82,4647.73,4.0,abgeschlossen
CLM-000132,CUST-012,2025-08-26,Transporter,Elektronik,Eigenverschulden,,1263.85,1332.38,1.0,storniert
CLM-000133,CUST-012,2024-05-12,Transporter,Elektronik,Fremdverschulden,Klimaanlage funktioniert nicht mehr,969.01,984.79,1.0,storniert
CLM-000134,CUST-012,2025-08-26,PKW,Elektronik,Fremdverschulden,Scheinwerfer fallen sporadisch aus,1688.38,1635.67,1.0,abgeschlossen
CLM-000135,CUST-002,2025-04-13,LKW,Karosserie,Eigenverschulden,Heckschaden durch Rückwärtsfahrt gegen Poller,2594.45,1862.1,5.0,abgeschlossen
CLM-000136,CUST-022,2024-01-25,LKW,Motor,Teilschuld,"Motor springt nicht an, Fehlermeldung im Display",4002.96,4058.71,6.0,abgeschlossen
CLM-000137,CUST-008,2023-07-13,Motorrad,Karosserie,Teilschuld,Lackschaden durch Vandalismus am vorderen Kotflügel,,2534.91,2.0,abgeschlossen
CLM-000138,CUST-002,2023-07-18,Transporter,Elektronik,Fremdverschulden,Scheinwerfer fallen sporadisch aus,3232.44,2812.46,6.0,abgeschlossen
CLM-000139,CUST-002,2025-06-01,PKW,Glas,Naturereignis,Heckscheibe durch Vandalismus eingeschlagen,1407.24,1497.41,1.0,abgeschlossen
CLM-000140,CUST-012,2024-12-26,PKW,Elektronik,Fremdverschulden,Infotainment-System reagiert nicht,1242.68,1573.6,1.0,abgeschlossen
CLM-000141,CUST-013,2025-05-17,PKW,Elektronik,Eigenverschulden,,945.13,1075.44,4.0,abgeschlossen
CLM-000142,CUST-001,2025-04-21,PKW,Karosserie,Naturereignis,Heckschaden durch Rückwärtsfahrt gegen Poller,4562.79,4103.81,5.0,abgeschlossen
CLM-000143,CUST-012,2025-08-14,LKW,Glas,Fremdverschulden,,1738.69,1673.48,2.0,storniert
CLM-000144,CUST-003,2023-04-21,Transporter,Interieur,Eigenverschulden,,1186.09,1232.4,1.0,abgeschlossen
CLM-000145,CUST-013,2023-07-21,PKW,Elektronik,Eigenverschulden,"Steuergerät defekt, mehrere Fehlermeldungen aktiv",1605.17,1800.39,3.0,storniert
CLM-000146,CUST-002,2023-05-05,PKW,Karosserie,Fremdverschulden,Hagelschaden auf Motorhaube und Dach,4113.97,3034.96,3.0,storniert
CLM-000147,CUST-013,2025-04-04,PKW,Motor,Naturereignis,Ungewöhnliche Geräusche aus dem Motorraum,10110.43,7589.15,8.0,abgeschlossen
CLM-000148,CUST-009,2024-11-25,PKW,Karosserie,Eigenverschulden,Lackschaden durch Vandalismus am vorderen Kotflügel,4636.3,5419.86,1.0,abgeschlossen
CLM-000149,CUST-027,2023-08-12,Transporter,Karosserie,Naturereignis,Heckschaden durch Rückwärtsfahrt gegen Poller,1603.45,1504.64,2.0,abgeschlossen
CLM-000150,CUST-002,2024-05-24,Transporter,Elektronik,Fremdverschulden,"Steuergerät defekt, mehrere Fehlermeldungen aktiv",987.61,955.77,,abgeschlossen
CLM-000151,CUST-008,2024-01-28,PKW,Interieur,Fremdverschulden,Armaturenbrett hat Riss durch Sonneneinstrahlung,880.12,983.05,1.0,abgeschlossen
CLM-000152,CUST-002,2024-01-25,Motorrad,Glas,Eigenverschulden,Riss in der Frontscheibe breitet sich aus,1668.71,2018.06,1.0,abgeschlossen
CLM-000153,CUST-026,2026-01-03,PKW,Fahrwerk,Eigenverschulden,Stoßdämpfer vorne links defekt,1560.26,1511.29,2.0,abgeschlossen
CLM-000154,CUST-025,2025-07-07,Transporter,Elektronik,Teilschuld,Infotainment-System reagiert nicht,739.83,650.4,1.0,abgeschlossen
CLM-000155,CUST-004,2023-10-15,PKW,Karosserie,Fremdverschulden,Seitliche Beschädigung nach Auffahrunfall,4482.0,5568.16,1.0,abgeschlossen
CLM-000156,CUST-013,2025-05-14,PKW,Interieur,Fremdverschulden,Sitzheizung defekt,553.85,504.63,1.0,abgeschlossen
CLM-000157,CUST-021,2024-01-11,Transporter,Elektronik,Naturereignis,"Steuergerät defekt, mehrere Fehlermeldungen aktiv",,1765.35,2.0,abgeschlossen
CLM-000158,CUST-012,2024-07-24,Transporter,Fahrwerk,Eigenverschulden,Achsvermessung nötig nach Bordsteinberührung,1378.69,1466.39,3.0,abgeschlossen
CLM-000159,CUST-012,2025-08-05,PKW,Elektronik,Vandalismus,Infotainment-System reagiert nicht,1354.54,1351.6,2.0,abgeschlossen
CLM-000160,CUST-003,2024-05-26,Transporter,Glas,Teilschuld,Steinschlag in der Windschutzscheibe,1138.88,1139.98,1.0,abgeschlossen
CLM-000161,CUST-002,2023-06-04,Motorrad,Karosserie,Naturereignis,"Beule an der Beifahrertür, Ursache unbekannt",2224.32,2187.75,5.0,storniert
CLM-000162,CUST-026,2025-06-26,PKW,Glas,Eigenverschulden,Riss in der Frontscheibe breitet sich aus,829.21,783.19,1.0,abgeschlossen
CLM-000163,CUST-026,2026-02-01,PKW,Interieur,Vandalismus,Mittelkonsole gebrochen,902.05,1118.36,1.0,wartend_auf_teile
CLM-000164,CUST-012,2023-07-20,PKW,Elektronik,Fremdverschulden,Klimaanlage funktioniert nicht mehr,2272.42,2171.7,2.0,abgeschlossen
CLM-000165,CUST-008,2023-04-14,PKW,Karosserie,Naturereignis,Heckschaden durch Rückwärtsfahrt gegen Poller,3920.11,3723.82,5.0,storniert
CLM-000166,CUST-008,2026-01-12,PKW,Interieur,Fremdverschulden,Sitzheizung defekt,1845.74,1948.08,4.0,abgeschlossen
CLM-000167,CUST-015,2023-01-31,Transporter,Glas,Eigenverschulden,Heckscheibe durch Vandalismus eingeschlagen,821.39,876.55,1.0,abgeschlossen
CLM-000168,CUST-026,2023-07-11,PKW,Motor,Teilschuld,"Turbolader defekt, Leistungsverlust",2401.18,1995.34,5.0,abgeschlossen
CLM-000169,CUST-026,2024-04-29,LKW,Motor,Fremdverschulden,Zahnriemen gerissen bei Autobahnfahrt,2899.2,2961.36,6.0,abgeschlossen
CLM-000170,CUST-019,2023-12-07,PKW,Fahrwerk,Teilschuld,Schleifgeräusche beim Lenken,4914.52,6559.39,3.0,abgeschlossen
CLM-000171,CUST-013,2025-04-12,PKW,Glas,Eigenverschulden,Heckscheibe durch Vandalismus eingeschlagen,1192.35,1281.93,1.0,abgeschlossen
CLM-000172,CUST-002,2025-09-21,PKW,Motor,Teilschuld,Ölverlust unter dem Fahrzeug festgestellt,2140.13,1965.92,2.0,abgeschlossen
CLM-000173,CUST-002,2025-09-12,LKW,Interieur,Fremdverschulden,Sitzheizung defekt,692.41,627.93,1.0,storniert
CLM-000174,CUST-026,2024-03-13,PKW,Elektronik,Fremdverschulden,Batterie entlädt sich über Nacht,1578.24,1466.48,3.0,abgeschlossen
CLM-000175,CUST-012,2025-04-01,PKW,Glas,Fremdverschulden,Heckscheibe durch Vandalismus eingeschlagen,322.15,358.29,1.0,abgeschlossen
